طابع زمني,اسم الجهة,مقر الجهة,متطلبات القبول في الجهة,مدة التدريب,هل يوجد مكافأة؟,هل البيئة مختلطة؟,تكلم عن تجربتك مثلًا ( مسماك الوظيفي، القسم اللي تدربت فيه، المشاريع اللي اشتغلت عليها، مزايا التدريب وعيوبه إلخ ..),مدى استفادتك من التدريب ,التدريب منتهي بتوظيف؟,ملاحظات
5:16:53 م 2022/08/27,الاساليب الذكيه,مكه,سيرة ذاتية,7 اشهر,لا,نعم,مسار انترنت الاشياء تجربه سيئه وم استفدت كثير اشتغلنا على روبوت مسارات متداخله منها هندسه وذكاء اصطناعي وغيره ,2,لا,
5:34:08 م 2022/08/27,غرفة مكة المكرمه ,مكة المكرمه ,خطاب,٤٠ يوم ,لا,نعم,مبرمجه ومطوره - قسم التحول الرقمي - مشاريع ف تحليل المشاريع - تقارير من قواعد بيانات - ui&ux - سكيورتي ,5,لا,
5:36:12 م 2022/08/27,الابتكارات العالمية,وادي مكة,"سيرة ذاتية, مقابلة",شهرين,لا,نعم,كنت مصممة واجهات صممت مشروع واجهات موقع الكتروني وبعد الانتهاء من التصميم قمت بتحليل المشروع SRS,5,نعم,البيئة متعاونة ومحترمه جدا ومن اهم شروطها لما تجو تقدمو انكم تكونو ناس اخلاق ومحترمين بدون ماتسوو مشاكل 🏃‍♀️
6:36:19 م 2022/08/27,مستشفى الملك عبدالعزيز ,مكة قسم تقنية المعلومات في المستشفى ,خطاب,يتم التحديد من قبل المتدرب,لا,نعم,فنية دعم فني، قسم تقنية المعلومات، برمجة اكسل وتصليح الاجهزة والطابعات وفرمته للأجهزة ، العيوب ما كان في كراسي تكفي كل البنات لاننا كنا تقريبا ٢٠ متدربة، المزايا الصراحة اتعلمت اشياء كتير في الحياة ممكن ما كان شي انا رح اتخصص فيه بس كعملومات للتعامل مع جهازي الشخصي استفدت مرا كتير، حتى كان في برمجة لموقع خاص بالقسم.,5,لا,انا تقريبا لما دخلت المنشأة اتخصصت دعم فني بس في شبكات وبرمجة. وبالتوفيق
6:48:04 م 2022/08/27,سدايا,الرياض,"خطاب, سيرة ذاتية, بعض الإدارات تتطلب مقابلة لقبول المتدرب",٨ اسابيع,لا,نعم,عملت في ادارة تخص الأمن السيبراني وتعرفت على المجال عمليا ونظريا في أكثر من قسم، البيئة محفزة وتؤهلك لسوق العمل، الموظفين من الكفاءات السعودية الناجحة، عيب التدريب انه لم تكن ادارتي على علم بمجيئي مسبقا، ولكن أنصح بسدايا جدا.,4,لا,التوظيف ليس أكيد ولكن مع اني تدربت ومتبقي لي سنة بالجامعة الا ان ادارتي ابدت رغبتها بتوظيفي، هنالك متسع للمتميزين لتوظيفهم لدى سدايا، تقابلت مع أكثر من موظف كان متدرب مسبقا، والموظفين أيضا يساعدون المتدربين على بدأ حياتهم المهنية الناجحة بشتى الطرق
7:10:34 م 2022/08/27,الاساليب الذكية,مكة,"خطاب, سيرة ذاتية",٨ اسابيع ٢٢ يونيو، ٢٥ اغسطس,لا,نعم,"كان فيه ٤ مسارات، وانا اخترت مسار انترنت الاشياء
المسار المدفوع تقدري تاخدي شهادات.
كانت في مهام كثير في مساري بداية التدريب قالو سوي ٤ منها عشان تاخذي الشهادة بس بعدين قالو خلاص مهمتين تكفي، وسويت مهمة من مسار ثاني عشان اخذ شهادة.
في التدريب مو مهم تحضري او تكوني عن بعد 
صح انا كنت مع المدفوع بس ماكنت اروح حضوري، لأنو نفس الحضوري ناخذو عن بعد مره مايفرق، ما انصح تاخذو المدفوع لأنو عالفاضي 🙂
كان عددنا كبير فمحد منتبه انتي ايش سويتي او انتي فاهمة ولالا ",2,لا,
7:46:50 م 2022/08/27, smart method,d,خطاب,6 week,لا,نعم,iot,1,لا,تدريب زق لازم تدفع فلوس عشان يعلموك خذ دورة ولا انك تدخل عندهم
7:46:59 م 2022/08/27,الاسلبي الذكية,مكة,ولا شيء بس اقدم يقبلوك,شهرين,لا,لا,لا,1,لا,ابعد كل البعد عن التدريب ذا عشان مافي منو فادية 
8:19:01 م 2022/08/27,الاساليب الذكية,مكة - جدة - الرياض ,خطاب,٨ -٩ اسابيع,لا,لا,مسار انترنت الاشياء اشغلت على اربع تاسكات كل اثنين مع بعض  التدريب بشكل عام كان سهل بس في البدايه ضياااااع لازم الواحد يسأل ويستفسر ويكلم المشرفين عن اي شي ماعرف له ,3,لا,
8:29:21 م 2022/08/27,إيسار,عن بعد، فقط يوم واحد في الأسبوع حضوري,"خطاب, سيرة ذاتية, مقابلة",٨ أسابيع,لا,نعم,"تم تقسيمنا الى مسارات، مسار الويب، التطبيقات والتصميم. وأعطوا لكل مسار دورات، مثلًا الويب درسوا Laravel، التطبيقات Flutter، وهكذا.
بعدها طلبوا مننا نبني نظام، حلّلنا النظام مع المهندس مبدئيًا و بدينا، طبعًا كنا نستشير المهندس بالأغلاط اللي نواجهها، الوقت قصير كان فنوعًا ما التجربة ناقصة رغم انه استفدنا كثير و خيرونا اذا نبغا نكمل أسبوعين كمان عشان نستفيد أكثر.
أشوف انها كانت تجربة واقعية في بناء نظام مع فريق + المهندس كان خبير و استفدنا منه كثير",5,لا,
10:19:32 م 2022/08/27,الاساليب الذكيه,مكة,"خطاب, سيرة ذاتية",شهرين,لا,نعم,كنت في مسار انترنت الاشياء ونظم البيانات ما كان فيه اهتمام ولا شي والتدريب بكبره كانه شو بس ,1,لا,
11:03:52 م 2022/08/27,الاساليب الذكية,مكة,ولا حاجة,٩ اسابيع ,لا,نعم,اشتغلت على كل المجالات الهندسة الكهربائيه والهندسة الميكانيكية والذكاء الاصطناعي وانترنت الاشياء ,5,لا,ما انصح فيه كتدريب جامعي فيه فرص كثيره افضل ممكن بعد التخرج او الاجازات الصيفية للمتعه 
6:55:27 م 2022/08/28,مستشفى الملك عبدالعزيز ,مستشفى الملك عبدالعزيز الزاهر,خطاب,شهرين ,لا,نعم,كانت تجربه جدا ممتعه كل اسبوع تقريبا نتعلم شي جديد مثلا ( انظمة الحمايه ، استقبال الاتصالات وحل المشكلات ، تغيير الاجهزه ومعرفة الخلل ، نقاط الشبكات ، ادخال وتعديل بيانات الموظفين وغيرها ..) لكن بشكل عام كانت تجربه مفيده والمهندسين الموجودين جدا متعاونين ,5,لا,
6:58:53 م 2022/08/28,مستشفى الملك عبدالعزيز (مستشفى الزاهر) ,مكه ,"خطاب, دورة بيكسل ",45 حسب ما كان محدد من قبل الجامعه,لا,نعم,دعم فني ، مسؤلين عن استقبال اتصالات اعطال الاجهزه و الشاشات و الطابعات في جميع المستشفى واصلاحها ,3,لا,
7:01:19 م 2022/08/28,امانه العاصمه,الكعكية,خطاب,45,لا,نعم,"في ادارة الحلول الرقمية في خطة بس ما كان في احد يعطينا هي بسبب انهاء عقد الشركة المسؤوله الين غيرو الخطه 
اخذنا بس يومين في الاسبوع ناخذ مهمه بسيطة نسوي رسمات زي هندسه ٢
مافي فايدة كثير لان اغلب الاشياء نعرفها بس حلو لو تبو شي خفيف ما فيه شغل كثير
و اكبر مشكله هي اللخبطه تعيشك في قلق بس في النهايه يسير كل شي زي المطلوب",2,لا,
7:06:46 م 2022/08/28,فندق دار التوحيد انتركونتننتال ,مكة - بجوار المسجد الحرام,سيرة ذاتية,٤٥ يوم ,لا,نعم,تدربت في قسم IT وكان مدربنا يعلمنا ويقولنا عن كل شيء يخص IT للفندق بما ان الجهة فندق ، فتعلمنا عن الانظمة السيرفرات اللي يستخدمونها وعن لمن توصلهم مشكلات من الاقسام الثانية او احد الضيوف يكون عنده مشكلة يبلغون قسم IT وهم يحلون مشكلاتهم التقنية وهكذا ، من مزايا التدريب انه تجربة حقيقة لشغلهم في القسم في الفندق جربنا كيف بيئة العمل في الفندق وكيف قسم IT مسؤول عن تشغيل كل الانظمة عندهم ومستعدين لحل اي مشكلة تظهر في اي قسم او لدى اي ضيف من ضيوف الفندق - عيوب التدريب موظفين القسم قليلين فكانوا ينشغلون اغلب الوقت بشغلهم فما يكون عندهم وقت كافي يدربونا ، يعطينا مهمة ويتركنا نسويها يعني طول اليوم لأنه ماعنده وقت يدربنا على اكثر من شيء في اليوم بحكم انه موظفين القسم في كل شفت كان قليل وضغط عليهم ,5,لا,اللغة الانجليزية مهمة جداً في بيئة العمل مثل هذه ، كان كل الموظفين في القسم غير عربيين فما يفهمون العربية ابداً ، مهم تطوير مهارة التواصل بالانقليزي. 
7:16:51 م 2022/08/28,شركة الابتكارات GIT,مكة - وادي مكة,خطاب,شهرين,لا,نعم,"تدربت بقسم ui-ux  وقسم كتابة المتطلبات وتحليلها, الفرصة كانت رهيبة وحلوة واللي دربوني بنات مره كانو لطيفات ومتعاونات 
اشتغلنا على مشروع هوا اساسا كان مطلوب لعميل والشركة سوته بس احنا حاكيناه وحللنا متطلباته وصممنا الواجهات ",5,لا,
7:20:09 م 2022/08/28,شركة رؤية الخبراء الاستشاريه، معسكر رؤية الرقمي,العابدية وادي مكة,"اختبار, مقابلة",٦ اسابيع او على حسب مسارك ,لا,نعم,"كان في ثلاث مسارات بس هم في الصيفي بدؤو مسارين :
١- تحليل البيانات وذكاء الأعمال
٢- الرؤية بالحاسب
انا دخلت مسار تحليل البيانات وذكاء الأعمال وكان لمدة ٦ أسابيع مفيدة، التدريب حلو من كل النواحي الدوام ٧ ساعات من ١٠ الصباح ل ٥ العصر من الاحد للخميس،هم يدربوك ع مسارك و في نهاية التدريب يطلبو منك تسوي مشروع ويساعدوك عشان تطلعه بأفضل صورة وتعرضه في نهاية التدريب، المشروع قروبات مو فردي، بيئة العمل رائعه ومحفزه، ويسوو زي الدورات لمواضيع مختلفه طوال السته اسابيع، دورات مفيدة ومثيرة للاهتمام وبتقابل شخصيات رائعة وكلهم دوافير ماشاءالله 🤭،ويسوو فعاليات تقريبا كل يوم، هذا شي حلو ومو حلو في نفس الوقت لانو احيان ما يخلينا نخلص مهامنا حق اليوم نضطر نرجع نكمل في البيت والشي الي مو حلو هو مكان الشركة مافي حوله شي نشفان ولو تبا اكل لازم تطلب،الشركة كانت توفر مويه وعصيرات وبسكويتات واحيان يجيبو غدا بس مو دايم🤭، بشكل مجمل التدريب عندهم ممتاز، انا دخلت ومو عارفه ايش هي تحليل البيانات وذكاء الأعمال وطلعت من عندهم فاهمه وعارفه كيف أسويه، جهة عمل أنصح بها👍🏻
تخصصي علوم حاسب",5,لا,
7:22:40 م 2022/08/28,مستشفى الملك عبدالعزيز ,الزاهر,"خطاب, سيرة ذاتية",45 يوم ,لا,نعم,متدربة فقسم تقنية المعلومات، مهتمين فالصيانة والشبكات اكثر من البرمجة، ماعندهم خطة واضحة، متعاونين ومتساهلين جدا ,3,لا,
